43100      '63,8403'   31.12.2017
43101      '62,8268'   01.01.2018
43102      '63,5079'   02.01.2018
43103      '62,8635'   03.01.2018
43104      '63,5394'   04.01.2018
43105      '63,7773'   05.01.2018
43106      '64,3803'   06.01.2018
43107      '64,8689'   07.01.2018
43108      '65,4183'   08.01.2018
43109      '65,9448'   09.01.2018
43110      '65,9353'   10.01.2018
43111      '66,6038'   11.01.2018
43112      '66,0429'   12.01.2018
43113      '66,9005'   13.01.2018
43114      '66,6682'   14.01.2018
43115      '66,2634'   15.01.2018
43116      '65,7809'   16.01.2018
43117      '65,5352'   17.01.2018
43118      '64,6274'   18.01.2018
43119      '64,773'    19.01.2018
43120      '64,87'     20.01.2018
43121      '64,3135'   21.01.2018
43122      '64,764'    22.01.2018
43123      '64,0429'   23.01.2018
43124      '63,7823'   24.01.2018
43125      '63,8325'   25.01.2018
43126      '63,6637'   26.01.2018
43127      '63,906'    27.01.2018
43128      '64,8112'   28.01.2018
43129      '64,5946'   29.01.2018
43130      '65,1602'   30.01.2018
43131      '64,6825'   31.01.2018
43132      '64,8556'   01.02.2018
43133      '64,7624'   02.02.2018
43134      '65,2607'   03.02.2018
43135      '65,3317'   04.02.2018
43136      '65,9177'   05.02.2018
43137      '65,0975'   06.02.2018
43138      '65,0742'   07.02.2018
43139      '64,5645'   08.02.2018
43140      '64,1378'   09.02.2018
43141      '63,9808'   10.02.2018
43142      '64,8199'   11.02.2018
43143      '64,5918'   12.02.2018
43144      '65,2994'   13.02.2018
43145      '65,1533'   14.02.2018
43146      '64,7683'   15.02.2018
43147      '65,1138'   16.02.2018
43148      '64,6569'   17.02.2018
43149      '64,7819'   18.02.2018
43150      '63,8353'   19.02.2018
43151      '63,6999'   20.02.2018
43152      '64,0518'   21.02.2018
43153      '63,9264'   22.02.2018
43154      '63,856'    23.02.2018
43155      '63,0129'   24.02.2018
43156      '63,0892'   25.02.2018
43157      '62,8343'   26.02.2018
43158      '62,2769'   27.02.2018
43159      '62,6713'   28.02.2018
43160      '62,4194'   01.03.2018
43161      '62,0861'   02.03.2018
43162      '62,2051'   03.03.2018
43163      '61,9853'   04.03.2018
43164      '62,67'     05.03.2018
43165      '63,0037'   06.03.2018
43166      '63,0334'   07.03.2018
43167      '62,9718'   08.03.2018
43168      '63,1094'   09.03.2018
43169      '62,8137'   10.03.2018
43170      '62,2943'   11.03.2018
43171      '62,486'    12.03.2018
